##Temp./°C	DSC/(mW/mg)
	GFP
124,82889	0,122414074094358
125,07889	0,123034074094358
125,32889	0,123894074094358
125,57889	0,124344074094358
125,82889	0,125354074094358
126,07889	0,125814074094358
126,32889	0,126044074094358
126,57889	0,126804074094358
126,82889	0,127764074094358
127,07889	0,128734074094358
127,32889	0,129034074094358
127,57889	0,129434074094358
127,82889	0,130254074094358
128,07889	0,131124074094358
128,32889	0,131424074094358
128,57889	0,132924074094358
128,82889	0,132934074094358
129,07889	0,133814074094358
129,32889	0,134384074094358
129,57889	0,135204074094358
129,82889	0,136214074094358
130,07889	0,136354074094358
130,32889	0,137724074094358
130,57889	0,138854074094358
130,82889	0,139444074094358
131,07889	0,139994074094358
131,32889	0,140394074094358
131,57889	0,141704074094358
131,82889	0,142874074094358
132,07889	0,143164074094358
132,32889	0,144074074094358
132,57889	0,144474074094358
132,82889	0,145994074094358
133,07889	0,146734074094358
133,32889	0,147144074094358
133,57889	0,148124074094358
133,82889	0,149194074094358
134,07889	0,150374074094358
134,32889	0,151004074094358
134,57889	0,151764074094358
134,82889	0,153764074094358
135,07889	0,153954074094358
135,32889	0,154954074094358
135,57889	0,156194074094358
135,82889	0,156804074094358
136,07889	0,158394074094358
136,32889	0,159174074094358
136,57889	0,160394074094358
136,82889	0,161604074094358
137,07889	0,162414074094358
137,32889	0,164244074094358
137,57889	0,165214074094358
137,82889	0,166344074094358
138,07889	0,167464074094358
138,32889	0,168924074094358
138,57889	0,170114074094358
138,82889	0,171694074094358
139,07889	0,173334074094358
139,32889	0,174484074094358
139,57889	0,175414074094358
139,82889	0,176234074094358
140,07889	0,178804074094358
140,32889	0,179444074094358
140,57889	0,181344074094358
140,82889	0,182504074094358
141,07889	0,184234074094358
141,32889	0,185524074094358
141,57889	0,186954074094358
141,82889	0,188514074094358
142,07889	0,189604074094358
142,32889	0,191304074094358
142,57889	0,192564074094358
142,82889	0,193654074094358
143,07889	0,194964074094358
143,32889	0,196344074094358
143,57889	0,197614074094358
143,82889	0,198854074094358
144,07889	0,200724074094358
144,32889	0,201844074094358
144,57889	0,202814074094358
144,82889	0,204354074094358
145,07889	0,205774074094358
145,32889	0,206794074094358
145,57889	0,208814074094358
145,82889	0,209884074094358
146,07889	0,211304074094358
146,32889	0,213344074094358
146,57889	0,214804074094358
146,82889	0,216764074094358
147,07889	0,218164074094358
147,32889	0,219134074094358
147,57889	0,220964074094358
147,82889	0,222554074094358
148,07889	0,223914074094358
148,32889	0,224994074094358
148,57889	0,226244074094358
148,82889	0,227754074094358
149,07889	0,229194074094358
149,32889	0,230534074094358
149,57889	0,231284074094358
149,82889	0,231954074094358
150,07889	0,232584074094358
150,32889	0,234104074094358
150,57889	0,234594074094358
150,82889	0,234914074094358
151,07889	0,235574074094358
151,32889	0,235764074094358
151,57889	0,235374074094358
151,82889	0,234564074094358
