Temp	G10
°C	W/g
	GEF
240,954	0,140784415584416
241,954	0,139051948051948
242,954	0,138841558441558
243,954	0,13892987012987
244,954	0,139038961038961
245,954	0,139415584415584
246,954	0,139745454545455
247,954	0,140275324675325
248,954	0,140322077922078
249,954	0,140727272727273
250,954	0,141184415584416
251,954	0,141238961038961
252,954	0,141787012987013
253,954	0,141774025974026
254,954	0,141987012987013
255,954	0,142550649350649
256,954	0,14247012987013
257,954	0,142807792207792
258,954	0,143345454545455
259,954	0,143433766233766
260,954	0,143145454545455
261,954	0,143275324675325
262,954	0,143838961038961
263,954	0,144405194805195
264,954	0,143890909090909
265,954	0,144387012987013
266,954	0,144527272727273
267,954	0,144548051948052
268,954	0,145062337662338
269,954	0,145264935064935
270,954	0,145327272727273
271,954	0,145051948051948
272,954	0,145753246753247
273,954	0,14621038961039
274,954	0,145890909090909
275,954	0,146212987012987
276,954	0,146114285714286
277,954	0,146522077922078
278,954	0,146763636363636
279,954	0,146516883116883
280,954	0,146794805194805
281,954	0,147171428571429
282,954	0,146831168831169
283,954	0,147745454545455
284,954	0,147836363636364
285,954	0,147607792207792
286,954	0,147735064935065
287,954	0,147748051948052
288,954	0,147883116883117
289,954	0,148015584415584
290,954	0,148509090909091
291,954	0,148683116883117
292,954	0,148971428571429
293,954	0,148914285714286
294,954	0,148974025974026
295,954	0,149067532467532
296,954	0,149171428571429
297,954	0,149516883116883
298,954	0,149236363636364
299,954	0,14952987012987
300,954	0,149981818181818
301,954	0,149662337662338
302,954	0,149992207792208
303,954	0,149522077922078
304,954	0,15041038961039
305,954	0,150890909090909
306,954	0,150527272727273
307,954	0,151275324675325
308,954	0,151301298701299
309,954	0,151283116883117
310,954	0,151737662337662
311,954	0,151922077922078
312,954	0,151872727272727
313,954	0,152103896103896
314,954	0,152192207792208
315,954	0,152218181818182
316,954	0,152633766233766
317,954	0,152314285714286
318,954	0,15285974025974
319,954	0,15261038961039
320,954	0,152488311688312
321,954	0,153114285714286
322,954	0,153628571428571
323,954	0,153018181818182
324,954	0,153275324675325
325,954	0,153363636363636
326,954	0,153379220779221
327,954	0,153992207792208
328,954	0,153862337662338
329,954	0,153864935064935
330,954	0,154122077922078
331,954	0,154114285714286
332,954	0,153953246753247
333,954	0,154135064935065
334,954	0,154387012987013
335,954	0,154732467532468
336,954	0,155368831168831
337,954	0,155077922077922
338,954	0,155438961038961
339,954	0,155963636363636
340,954	0,156584415584416
341,954	0,156283116883117
342,954	0,156732467532468
343,954	0,156953246753247
344,954	0,157072727272727
345,954	0,157509090909091
346,954	0,15714025974026
347,954	0,157685714285714
348,954	0,157742857142857
349,954	0,158080519480519
