	G_PS
1024.36	0.218213184338492
1026.29	0.224835184338493
1028.22	0.230335184338493
1030.15	0.234830184338493
1032.08	0.239467184338493
1034.01	0.245604184338493
1035.94	0.253804184338493
1037.87	0.263422184338493
1039.8	0.273450184338493
1041.73	0.283117184338493
1043.66	0.291205184338493
1045.58	0.298113184338493
1047.51	0.307786184338493
1049.44	0.321410184338493
1051.37	0.333204184338493
1053.3	0.339517184338493
1055.23	0.343942184338493
1057.16	0.348640184338493
1059.09	0.351176184338493
1061.02	0.349824184338493
1062.95	0.346058184338493
1064.88	0.345006184338493
1066.81	0.351747184338493
1068.73	0.364092184338493
1070.66	0.374414184338493
1072.59	0.379005184338493
1074.52	0.380148184338493
1076.45	0.380445184338493
1078.38	0.379202184338493
1080.31	0.375718184338492
1082.24	0.373218184338493
1084.17	0.373892184338493
1086.1	0.374925184338493
1088.03	0.374431184338493
1089.95	0.373749184338493
1091.88	0.373750184338493
1093.81	0.376021184338493
1095.74	0.382373184338493
1097.67	0.389949184338493
1099.6	0.394527184338493
1101.53	0.398639184338493
1103.46	0.407744184338493
1105.39	0.419923184338493
1107.32	0.430149184338493
1109.25	0.442248184338493
1111.18	0.459958184338493
1113.1	0.473671184338493
1115.03	0.477224184338493
1116.96	0.481788184338493
1118.89	0.495146184338493
1120.82	0.511130184338493
1122.75	0.524314184338493
1124.68	0.537823184338493
1126.61	0.556649184338493
1128.54	0.580151184338493
1130.47	0.604080184338493
1132.4	0.631949184338493
1134.32	0.670196184338493
1136.25	0.712138184338493
1138.18	0.750921184338492
1140.11	0.797114184338493
1142.04	0.855388184338493
1143.97	0.909171184338493
1145.9	0.951197184338493
1147.83	1.00034418433849
1149.76	1.06728518433849
1151.69	1.12189518433849
1153.62	1.12399518433849
1155.55	1.09630518433849
1157.47	1.07991518433849
1159.4	1.06273518433849
1161.33	1.01794518433849
1163.26	0.961961184338493
1165.19	0.918912184338493
1167.12	0.882034184338492
1169.05	0.834897184338493
1170.98	0.779316184338493
1172.91	0.727999184338493
1174.84	0.686818184338493
1176.77	0.653672184338493
1178.69	0.625718184338492
1180.62	0.599898184338493
1182.55	0.570091184338493
1184.48	0.534978184338493
1186.41	0.502925184338493
1188.34	0.479211184338493
1190.27	0.459535184338493
1192.2	0.440143184338492
1194.13	0.421735184338492
1196.06	0.404004184338493
1197.99	0.386519184338493
1199.91	0.370797184338493
1201.84	0.357330184338493
1203.77	0.345662184338493
1205.7	0.336611184338492
1207.63	0.329773184338493
1209.56	0.321472184338492
1211.49	0.310534184338493
1213.42	0.302152184338493
1215.35	0.298734184338493
1217.28	0.294389184338493
1219.21	0.286204184338493
1221.14	0.279635184338493
1223.06	0.277512184338493
1224.99	0.276811184338493
1226.92	0.275459184338493
1228.85	0.273594184338493
1230.78	0.272229184338493
1232.71	0.272301184338493
1234.64	0.271511184338493
1236.57	0.267407184338493
1238.5	0.262967184338493
1240.43	0.261375184338493
1242.36	0.260998184338493
1244.28	0.259972184338493
1246.21	0.257770184338493
1248.14	0.253092184338493
1250.07	0.247051184338493
1252	0.242625184338493
1253.93	0.238736184338493
1255.86	0.233415184338493
1257.79	0.229820184338493
1259.72	0.231137184338493
1261.65	0.235645184338493
1263.58	0.240886184338493
1265.51	0.246758184338493
1267.43	0.253950184338493
1269.36	0.262235184338492
1271.29	0.268449184338493
1273.22	0.268754184338493
1275.15	0.264274184338493
1277.08	0.258210184338493
1279.01	0.250744184338493
1280.94	0.241098184338493
1282.87	0.230291184338493
1284.8	0.220415184338493
1286.73	0.211776184338493
1288.65	0.201820184338493
1290.58	0.189643184338493
1292.51	0.178126184338493
1294.44	0.169053184338493
1296.37	0.161032184338493
1298.3	0.152332184338493
1300.23	0.143467184338493
1302.16	0.136507184338493
1304.09	0.131634184338493
1306.02	0.126868184338492
1307.95	0.121781184338493
1309.87	0.117640184338493
1311.8	0.115083184338493
1313.73	0.114014184338493
1315.66	0.113266384338492
1317.59	0.111980184338492
1319.52	0.111826584338492
1321.45	0.113204684338493
1323.38	0.112860184338493
1325.31	0.109596384338493
1327.24	0.105645684338493
1329.17	0.101870084338493
1331.1	0.0978239843384925
1333.02	0.0946272843384928
1334.95	0.0922229843384925
1336.88	0.0875282843384926
1338.81	0.0801556843384925
1340.74	0.0762510843384927
1342.67	0.0778232843384927
